TERRITORIO,REGION,OFICINA,ESTABLECIMIENTO,FLAG,NRO_ADN_ABR,SALDO_VIG_ABR,NRO_ENTIDADES,PART_MCDO,MORA_ZONA_COBERTURA
TERRITORIO 1,REGION 1,OFICINA 1,ESTABLECIMIENTO 1,0,2,2085,3,0.067423031,0.019199125
TERRITORIO 1,REGION 1,OFICINA 2,ESTABLECIMIENTO 2,0,2,2488,3,0.03827546,0.046667408
TERRITORIO 1,REGION 1,OFICINA 3,ESTABLECIMIENTO 3,0,2,3503,5,0.048129228,0.110747259
TERRITORIO 1,REGION 1,OFICINA 4,ESTABLECIMIENTO 4,0,2,4037,11,0.008922609,0.08137619
TERRITORIO 1,REGION 1,OFICINA 5,ESTABLECIMIENTO 5,0,4,6407,11,0.013893125,0.156859317
TERRITORIO 1,REGION 1,OFICINA 6,ESTABLECIMIENTO 6,0,5,10878,13,0.014509808,0.112773469
TERRITORIO 1,REGION 1,OFICINA 7,ESTABLECIMIENTO 7,0,4,5348,2,0.159345478,0.042977811
TERRITORIO 1,REGION 1,OFICINA 8,ESTABLECIMIENTO 8,0,4,5962,9,0.024721895,0.18003938
TERRITORIO 1,REGION 1,OFICINA 9,ESTABLECIMIENTO 9,0,3,5200,2,0.612908813,0.114812863
TERRITORIO 1,REGION 1,OFICINA 10,ESTABLECIMIENTO 10,0,3,3532,5,0.05891683,0.09457058
TERRITORIO 1,REGION 1,OFICINA 11,ESTABLECIMIENTO 11,0,3,6831,3,0.404222188,0.103133128
TERRITORIO 1,REGION 2,OFICINA 12,ESTABLECIMIENTO 12,0,2,2438,8,0.007569861,0.122190523
TERRITORIO 1,REGION 2,OFICINA 13,ESTABLECIMIENTO 13,0,3,4612,6,0.030560086,0.086412548
TERRITORIO 1,REGION 2,OFICINA 14,ESTABLECIMIENTO 14,0,5,9897,3,0.138546622,0.055244958
TERRITORIO 1,REGION 2,OFICINA 15,ESTABLECIMIENTO 15,0,3,3410,11,0.014778016,0.174456674
TERRITORIO 1,REGION 2,OFICINA 16,ESTABLECIMIENTO 16,0,2,2911,13,0.012004614,0.068650291
TERRITORIO 1,REGION 2,OFICINA 17,ESTABLECIMIENTO 17,1,3,3940,13,0.006656373,0.098712207
TERRITORIO 1,REGION 2,OFICINA 18,ESTABLECIMIENTO 18,1,3,3505,14,0.002367756,0.051731561
TERRITORIO 1,REGION 2,OFICINA 19,ESTABLECIMIENTO 19,0,3,3815,6,0.019913489,0.093082152
TERRITORIO 1,REGION 2,OFICINA 20,ESTABLECIMIENTO 20,0,3,3248,7,0.032770975,0.142168076
TERRITORIO 1,REGION 2,OFICINA 21,ESTABLECIMIENTO 21,0,3,4333,5,0.06105599,0.050640831
TERRITORIO 1,REGION 2,OFICINA 22,ESTABLECIMIENTO 22,0,2,5513,11,0.030318143,0.117849573
TERRITORIO 1,REGION 2,OFICINA 23,ESTABLECIMIENTO 23,0,4,6030,9,0.031677415,0.050008859
TERRITORIO 1,REGION 2,OFICINA 24,ESTABLECIMIENTO 24,0,4,6725,11,0.028414299,0.07661926
TERRITORIO 1,REGION 2,OFICINA 25,ESTABLECIMIENTO 25,0,4,5089,5,0.066147678,0.108968546
TERRITORIO 1,REGION 3,OFICINA 26,ESTABLECIMIENTO 26,0,3,2258,5,0.035309862,0.197651712
TERRITORIO 1,REGION 3,OFICINA 27,ESTABLECIMIENTO 27,0,2,2931,2,0.61973282,0.138442087
TERRITORIO 1,REGION 3,OFICINA 28,ESTABLECIMIENTO 28,0,2,3396,2,0.959192452,0.081298738
TERRITORIO 1,REGION 3,OFICINA 29,ESTABLECIMIENTO 29,0,5,5633,3,0.149340392,0.049529505
TERRITORIO 1,REGION 3,OFICINA 30,ESTABLECIMIENTO 30,0,4,5664,5,0.090944557,0.104585552
TERRITORIO 1,REGION 3,OFICINA 31,ESTABLECIMIENTO 31,0,9,11763,13,0.021534145,0.099026929
TERRITORIO 1,REGION 3,OFICINA 32,ESTABLECIMIENTO 32,0,4,5464,5,0.094871697,0.093707064
TERRITORIO 1,REGION 3,OFICINA 33,ESTABLECIMIENTO 33,0,6,8314,13,0.028494956,0.091899054
TERRITORIO 1,REGION 3,OFICINA 34,ESTABLECIMIENTO 34,0,4,6513,7,0.045029167,0.164258193
TERRITORIO 1,REGION 4,OFICINA 35,ESTABLECIMIENTO 35,0,2,3389,5,0.022656904,0.149211962
TERRITORIO 1,REGION 4,OFICINA 36,ESTABLECIMIENTO 36,0,2,3816,5,0.020327404,0.095609899
TERRITORIO 1,REGION 4,OFICINA 37,ESTABLECIMIENTO 37,0,3,3672,5,0.029101769,0.077434327
TERRITORIO 1,REGION 4,OFICINA 38,ESTABLECIMIENTO 38,0,2,3336,9,0.012007917,0.057390525
TERRITORIO 1,REGION 4,OFICINA 39,ESTABLECIMIENTO 39,0,3,2774,5,0.037946605,0.169690907
TERRITORIO 1,REGION 4,OFICINA 40,ESTABLECIMIENTO 40,0,0,1681,2,0.239842193,0.000286615
TERRITORIO 1,REGION 4,OFICINA 41,ESTABLECIMIENTO 41,0,2,2035,3,0.085340088,0.190705603
TERRITORIO 1,REGION 4,OFICINA 42,ESTABLECIMIENTO 42,0,3,3437,3,0.110591496,0.06487471
TERRITORIO 1,REGION 4,OFICINA 43,ESTABLECIMIENTO 43,0,2,2306,3,0.108459004,0.023968273
TERRITORIO 1,REGION 4,OFICINA 44,ESTABLECIMIENTO 44,0,2,3130,8,0.020931869,0.161754893
TERRITORIO 1,REGION 4,OFICINA 45,ESTABLECIMIENTO 45,0,3,5586,6,0.030655525,0.074668672
TERRITORIO 1,REGION 4,OFICINA 46,ESTABLECIMIENTO 46,1,4,5964,14,0.008033479,0.158652353
TERRITORIO 1,REGION 4,OFICINA 47,ESTABLECIMIENTO 47,0,4,6177,10,0.027026089,0.072141914
TERRITORIO 1,REGION 4,OFICINA 48,ESTABLECIMIENTO 48,1,3,6318,17,0.002610827,0.094262945
TERRITORIO 1,REGION 4,OFICINA 49,ESTABLECIMIENTO 49,0,3,4443,8,0.014538645,0.075515614
TERRITORIO 1,REGION 4,OFICINA 50,ESTABLECIMIENTO 50,0,4,4812,6,0.021389866,0.088615228
TERRITORIO 1,REGION 4,OFICINA 51,ESTABLECIMIENTO 51,0,8,13406,12,0.025772194,0.062342657
TERRITORIO 1,REGION 4,OFICINA 52,ESTABLECIMIENTO 52,0,4,6797,3,0.145049166,0.032168789
TERRITORIO 2,REGION 5,OFICINA 53,ESTABLECIMIENTO 53,0,2,3488,3,0.397519221,0.027217132
TERRITORIO 2,REGION 5,OFICINA 54,ESTABLECIMIENTO 54,1,1,962,11,0.002304124,0.089941814
TERRITORIO 2,REGION 5,OFICINA 54,ESTABLECIMIENTO 55,0,1,1220,12,0.002889341,0.168538991
TERRITORIO 2,REGION 5,OFICINA 55,ESTABLECIMIENTO 56,0,5,8018,3,0.14992424,0.132248234
TERRITORIO 2,REGION 5,OFICINA 56,ESTABLECIMIENTO 57,0,3,5511,10,0.02394791,0.143161532
TERRITORIO 2,REGION 5,OFICINA 57,ESTABLECIMIENTO 58,1,2,3433,17,0.00096924,0.214805352
TERRITORIO 2,REGION 5,OFICINA 58,ESTABLECIMIENTO 59,0,5,7708,5,0.098296878,0.07297858
TERRITORIO 2,REGION 5,OFICINA 59,ESTABLECIMIENTO 60,0,3,4552,12,0.004197556,0.170208736
TERRITORIO 2,REGION 5,OFICINA 60,ESTABLECIMIENTO 61,0,4,7569,5,0.045655674,0.077186525
TERRITORIO 2,REGION 6,OFICINA 61,ESTABLECIMIENTO 62,0,2,3148,4,0.046106982,0.123043678
TERRITORIO 2,REGION 6,OFICINA 62,ESTABLECIMIENTO 63,0,2,2430,1,1,0.083290687
TERRITORIO 2,REGION 6,OFICINA 63,ESTABLECIMIENTO 64,0,1,4053,2,0.263351048,0.07158451
TERRITORIO 2,REGION 6,OFICINA 64,ESTABLECIMIENTO 65,0,5,5483,6,0.032283357,0.183130815
TERRITORIO 2,REGION 6,OFICINA 63,ESTABLECIMIENTO 66,0,3,5494,4,0.057638837,0.070431608
TERRITORIO 2,REGION 6,OFICINA 65,ESTABLECIMIENTO 67,0,5,7663,16,0.002894365,0.107262143
TERRITORIO 2,REGION 6,OFICINA 66,ESTABLECIMIENTO 68,0,4,6465,6,0.034496937,0.058042107
TERRITORIO 2,REGION 6,OFICINA 67,ESTABLECIMIENTO 69,0,3,4891,4,0.072541977,0.074277502
TERRITORIO 2,REGION 6,OFICINA 62,ESTABLECIMIENTO 70,0,6,8486,7,0.023071245,0.074395829
TERRITORIO 2,REGION 7,OFICINA 68,ESTABLECIMIENTO 71,0,2,3858,1,1,0.018361337
TERRITORIO 2,REGION 7,OFICINA 68,ESTABLECIMIENTO 72,0,2,3181,2,1,0.057418859
TERRITORIO 2,REGION 7,OFICINA 69,ESTABLECIMIENTO 73,0,2,3142,2,1,0.041533316
TERRITORIO 2,REGION 7,OFICINA 70,ESTABLECIMIENTO 74,0,0,2828,1,1,0.04966643
TERRITORIO 2,REGION 7,OFICINA 71,ESTABLECIMIENTO 75,0,1,2016,1,1,0.044410818
TERRITORIO 2,REGION 7,OFICINA 69,ESTABLECIMIENTO 76,0,0,1816,1,1,0.031127248
TERRITORIO 2,REGION 7,OFICINA 70,ESTABLECIMIENTO 77,0,1,2430,1,1,0.162559614
TERRITORIO 2,REGION 7,OFICINA 68,ESTABLECIMIENTO 78,0,1,807,1,1,0.049005106
TERRITORIO 2,REGION 7,OFICINA 70,ESTABLECIMIENTO 79,0,1,87,1,0.25,0.09
TERRITORIO 2,REGION 7,OFICINA 71,ESTABLECIMIENTO 80,0,2,3299,2,1,0.044747431
TERRITORIO 2,REGION 7,OFICINA 72,ESTABLECIMIENTO 81,0,3,4155,1,1,0.117093895
TERRITORIO 2,REGION 7,OFICINA 73,ESTABLECIMIENTO 82,0,0,2787,1,1,0.070973283
TERRITORIO 2,REGION 7,OFICINA 73,ESTABLECIMIENTO 83,0,4,5099,2,0.65202861,0.118851227
TERRITORIO 2,REGION 7,OFICINA 70,ESTABLECIMIENTO 84,0,6,7558,4,0.07422922,0.072196698
TERRITORIO 2,REGION 7,OFICINA 69,ESTABLECIMIENTO 85,0,7,10867,4,0.102770371,0.04701315
TERRITORIO 2,REGION 7,OFICINA 71,ESTABLECIMIENTO 86,0,2,3000,4,0.039586189,0.090089298
TERRITORIO 2,REGION 7,OFICINA 68,ESTABLECIMIENTO 87,0,2,2608,4,0.027278503,0.109236577
TERRITORIO 2,REGION 7,OFICINA 74,ESTABLECIMIENTO 88,0,5,8870,2,0.242547767,0.108700006
TERRITORIO 2,REGION 7,OFICINA 75,ESTABLECIMIENTO 89,0,6,8759,1,1,0.056357351
TERRITORIO 2,REGION 8,OFICINA 76,ESTABLECIMIENTO 90,0,1,1070,2,1,0.085929778
TERRITORIO 2,REGION 8,OFICINA 77,ESTABLECIMIENTO 91,0,3,3140,3,0.145670252,0.11937224
TERRITORIO 2,REGION 8,OFICINA 76,ESTABLECIMIENTO 92,0,1,1416,2,1,0.060493762
TERRITORIO 2,REGION 8,OFICINA 78,ESTABLECIMIENTO 93,0,2,2662,2,0.13064423,0.088346868
TERRITORIO 2,REGION 8,OFICINA 76,ESTABLECIMIENTO 94,0,1,1571,1,1,0.063197375
TERRITORIO 2,REGION 8,OFICINA 79,ESTABLECIMIENTO 95,0,5,8906,1,0.977782813,0.068952677
TERRITORIO 2,REGION 8,OFICINA 80,ESTABLECIMIENTO 96,0,5,8117,1,1,0.059999167
TERRITORIO 2,REGION 8,OFICINA 81,ESTABLECIMIENTO 97,0,2,3834,6,0.04073145,0.151222077
TERRITORIO 2,REGION 8,OFICINA 77,ESTABLECIMIENTO 98,0,7,10703,5,0.081111546,0.062272105
TERRITORIO 2,REGION 8,OFICINA 76,ESTABLECIMIENTO 99,0,11,18382,13,0.013067016,0.068411841
TERRITORIO 2,REGION 8,OFICINA 82,ESTABLECIMIENTO 100,0,4,7945,12,0.013231958,0.104539982
TERRITORIO 2,REGION 8,OFICINA 83,ESTABLECIMIENTO 101,0,5,5635,4,0.060772893,0.072891505
